ID,GENDER,AGE,COUNTRY,EDUCATION,OPENMINDEDNESS_Z,CONSCIENTIOUSNESS_Z,EXTRAVERSION_Z,AGREEABLENESS_Z,NEGATIVEEMOTIONALITY_Z,NUM_SESSIONS,SESSION1,SESSION2,SESSION3,SESSION4,SESSION5
2,F,29,Spain,Masters_degree,-1.683690301,1.292321023,-0.231236643,1.160066028,-0.3124237039999999,1,002003,,,,
3,F,28,Peru,Secondary,-0.263907733,0.616151853,0.243083386,0.982577987,-0.437972074,2,003005,002003,,,
5,F,28,Spain,Secondary,-0.894922208,-0.87142032,-1.812303406,-1.502254595,1.194156738,3,005013,003005,005134,,
13,M,30,Ecuador,Masters_degree,1.94464293,0.210450351,-1.179876701,-0.437326346,0.315318147,2,013041,005013,,,
41,F,58,Spain,Vocational/Training,-0.263907733,0.480918019,-0.547449995,1.692530153,-0.061326964,4,041083,041084,,013041,
58,M,23,Czech Republic,Bachelor/uni_degree,0.251282051,-0.341991342,-0.2875,1.151041667,-0.272030651,2,058110,058059,,,
59,M,25,Czech Republic,Bachelor/uni_degree,-0.133333333,-1.640692641,-0.7041666670000001,-0.541666667,-0.272030651,3,,059134,058059,,
83,F,52,Spain,Vocational/Training,-1.210429445,1.56278869,-0.547449995,1.33755407,-0.563520445,1,041083,,,,
110,M,33,Spain,Masters_degree,0.892307692,-1.532467532,0.9625,0.239583333,-0.4636015329999999,2,058110,110136,,,
134,F,25,Spain,Masters_degree,0.68261398,1.157087189,1.033616768,-1.324766554,0.064221406,5,,059134,,,005134
136,M,41,Brasil,Doctorate,0.2093531239999999,1.292321023,-1.021770024,0.095137779,-1.191262295,2,110136,136175,,,
175,M,55,Morocco,Doctorate,0.123076923,1.064935065,0.5458333329999999,0.109375,-1.038314176,2,136175,115175,,,
85,M,25,Spain,Masters_degree,-0.894922208,-1.818057157,-1.970410083,0.6276019039999999,-0.940165555,4,,085186,,085190,
119,F,22,Spain,Vocational/Training,0.524860361,-1.141887988,0.717403415,-0.2598383039999999,0.943059997,4,119145,119124,,119190,
124,F,21,Spain,Vocational/Training,0.840367599,0.210450351,0.401190063,-1.147278512,-1.316810666,2,119124,124145,,,
141,M,26,Spain,Masters_degree,0.367106742,-0.600952652,-1.179876701,-0.614814387,-1.442359036,3,,141182,141183,,
145,F,25,Spain,Masters_degree,0.68261398,1.292321023,-1.970410083,1.160066028,-1.693455776,3,119145,124145,,,
180,M,26,Spain,Secondary,0.68261398,0.480918019,0.717403415,-0.437326346,-1.819004146,1,180181,,,,
181,M,26,Spain,Bachelor/uni_degree,1.629135693,-0.600952652,1.982256826,1.870018195,0.566414887,3,180181,,181182,,
182,M,27,Spain,Upper_secondary,0.524860361,-1.277121822,-1.021770024,-0.0823502629999999,-0.1868753339999999,3,141182,182183,181182,,
183,M,23,Cuba,Vocational/Training,0.840367599,0.480918019,0.243083386,0.272625821,-0.3124237039999999,5,182183,141183,,,183186
186,M,21,Spain,Bachelor/uni_degree,-0.737168589,0.210450351,-0.3893433189999999,-1.502254595,0.064221406,2,085186,183186,,,
190,F,29,Argentina,Secondary,2.260150168,-2.223758659,0.559296739,-1.857230678,1.445253478,2,119190,085190,,,
137,M,22,Spain,Bachelor/uni_degree,0.367106742,-1.412355655,-0.231236643,0.450113862,-0.689068815,1,137138,,,,
138,M,25,Spain,Bachelor/uni_degree,0.251282051,-0.883116883,0.233333333,-0.151041667,0.302681992,1,137138,,,,
112,M,23,Spain,Masters_degree,-0.263907733,0.210450351,-0.231236643,-0.0823502629999999,-1.191262295,3,112132,112113,,,
113,F,19,Spain,Secondary,-0.421661351,1.698022524,0.559296739,-0.0823502629999999,0.064221406,4,113132,112113,,027113,
132,F,25,Argentina,Vocational/Training,0.367106742,0.075216517,0.559296739,-0.437326346,0.064221406,2,112132,113132,,,
111,F,19,Germany,Secondary,0.507692308,0.1991341989999999,1.275,0.239583333,1.45210728,1,111130,,,,
130,F,20,Spain,Secondary,1.0205128209999998,0.090909091,0.1291666669999999,1.28125,1.45210728,1,111130,,,,
52,M,22,Spain,Masters_degree,-0.421661351,1.4275548569999998,-2.286623435,-1.857230678,0.566414887,1,052057,,,,
57,F,23,Spain,Bachelor/uni_degree,0.367106742,0.886619521,-1.65419673,-1.324766554,1.821898589,3,,052057,,,
86,M,26,Spain,Bachelor/uni_degree,-0.421661351,0.886619521,-0.3893433189999999,0.095137779,-1.442359036,2,086087,086089,,,
87,M,26,Spain,Masters_degree,0.051599505,-0.600952652,-1.021770024,-2.03471872,-1.442359036,3,086087,087088,087089,,
88,F,26,Spain,Masters_degree,-1.999197539,0.345684185,-1.021770024,1.160066028,1.319705108,2,088089,087088,,,
89,M,28,Spain,Bachelor/uni_degree,0.524860361,0.210450351,-2.286623435,0.272625821,0.817511627,3,088089,086089,087089,,
27,F,63,Venezuela,Bachelor/uni_degree,1.786889311,1.157087189,0.559296739,0.6276019039999999,0.566414887,5,027076,027113,027154,027118,017027
55,M,22,Spain,Masters_degree,-0.737168589,-0.87142032,-0.231236643,-2.03471872,-1.191262295,5,,055128,055125,,
