ID,Q257_1,Q257_2,Q257_3,Q257_4,Q257_5,Q257_6,Q257_7,Q257_8,Q257_9,Q257_10,Q257_11,Q257_12,Q257_13,Q257_14,Q257_15,Q257_16,Q257_17,Q257_18,Q257_19,Q257_20,Q257_21,Q257_22,Q257_23,Q257_24,Q257_25,Q257_26,Q257_27,Q257_28,Q257_29,Q257_30,Q257_31,Q257_32,Q257_33,Q257_34,Q257_35,Q257_36,Q257_37,Q257_38,Q257_39,Q257_40,Q257_41,Q257_42,Q257_43,Q257_44,Q257_45,Q257_46,Q257_47,Q257_48,Q257_49,Q257_50,Q257_51,Q257_52,Q257_53,Q257_54,Q257_55,Q257_56,Q257_57,Q257_58,Q257_59,Q257_60
1,4,4,1,3,3,4,4,2,4,4,3,2,4,2,4,3,2,4,4,4,2,2,2,4,3,3,4,2,3,3,4,4,4,5,4,4,1,4,2,2,4,1,5,4,1,5,1,1,3,1,1,4,5,3,3,4,4,1,1,3
2,4,4,1,3,5,4,4,3,4,5,1,2,4,4,4,5,1,4,3,1,2,2,2,4,2,2,5,2,3,2,4,5,4,5,1,2,2,4,2,3,4,2,4,3,1,2,1,1,3,5,2,4,5,2,4,4,4,2,3,4
3,3,4,2,3,3,5,5,4,4,4,2,2,3,2,4,4,2,4,4,4,4,2,3,4,2,2,4,3,2,3,5,5,4,4,4,2,2,4,4,4,3,2,5,4,2,4,2,2,2,2,1,4,5,2,3,4,5,2,1,3
4,4,4,3,3,3,3,5,3,3,4,3,3,3,3,4,3,2,4,4,3,3,2,4,3,2,2,4,4,4,2,3,4,3,3,3,3,2,3,4,4,3,3,4,3,2,2,2,2,4,4,3,4,3,4,2,3,4,2,1,4
5,2,3,3,2,3,3,3,4,3,5,2,3,3,5,3,3,2,4,4,3,2,3,4,3,3,4,3,4,3,3,4,4,3,5,3,5,4,3,4,3,2,4,3,2,2,3,3,3,2,2,3,4,4,4,3,3,3,4,4,3
6,2,4,2,2,4,2,4,4,4,4,2,4,4,2,3,4,2,3,4,4,4,1,2,4,2,2,4,2,4,2,4,4,3,4,4,4,3,4,4,4,4,4,5,4,2,2,2,2,2,4,4,4,4,4,3,3,4,2,4,4
7,4,2,1,1,3,4,4,1,2,5,2,4,3,4,5,4,4,5,5,5,5,4,1,2,1,1,2,1,2,2,3,4,5,5,5,1,4,5,5,5,3,3,5,2,2,4,4,1,1,1,1,4,5,5,2,3,3,2,5,4
8,4,4,1,2,1,4,5,1,4,4,1,2,4,2,4,2,4,5,4,4,3,2,2,4,2,2,5,2,4,2,4,5,5,5,5,2,2,4,2,2,4,3,4,2,2,4,2,1,2,2,2,5,4,2,3,4,4,2,2,4
9,4,4,1,3,2,2,5,2,2,2,2,2,4,2,2,4,2,4,4,3,2,2,2,2,2,4,4,1,2,4,4,4,4,4,4,4,1,4,4,2,2,3,4,4,4,2,2,1,2,1,2,4,4,2,2,2,3,1,2,4
10,2,3,2,1,2,3,5,2,2,3,2,2,3,4,4,5,2,4,5,4,3,2,2,1,1,1,3,4,1,2,4,3,3,3,4,4,4,4,4,5,4,4,4,1,2,1,4,1,1,2,3,3,4,5,1,3,2,4,3,3
11,4,4,4,2,1,4,5,3,2,4,2,2,4,4,4,2,1,3,4,4,5,3,3,3,1,1,5,4,3,2,3,4,2,4,4,2,2,4,4,4,4,4,4,4,2,4,3,3,2,2,2,4,4,3,2,4,3,2,4,4
13,3,4,5,3,1,3,3,3,3,5,3,4,5,3,4,5,1,2,4,5,3,3,4,3,1,4,5,4,3,1,4,5,4,4,5,3,3,5,4,5,3,4,5,3,1,3,2,1,3,1,3,3,5,3,1,5,4,3,4,4
15,4,4,2,4,5,4,5,4,4,2,2,4,4,3,2,2,2,4,4,1,2,2,4,2,3,2,5,2,4,4,1,4,3,4,1,2,3,2,2,4,4,4,5,5,2,5,4,2,4,4,4,4,2,3,4,4,2,2,4,2
17,4,4,2,4,1,4,4,3,4,4,3,2,4,3,4,4,1,4,3,5,2,2,2,4,1,2,5,2,4,2,4,4,4,4,5,2,2,4,1,3,4,3,4,4,2,2,2,2,4,1,2,4,4,2,1,3,4,2,2,4
18,3,5,1,3,5,3,5,4,4,5,1,3,4,4,4,3,1,5,5,3,5,3,4,3,2,2,4,2,2,4,4,5,5,4,4,2,4,4,3,4,3,4,5,3,2,3,3,1,1,1,1,5,4,3,4,4,3,3,3,4
20,3,5,4,5,1,3,5,3,5,5,3,4,5,2,5,2,2,4,4,5,3,3,1,4,1,3,2,3,5,1,4,4,3,5,5,1,4,5,3,5,3,4,5,5,2,3,3,2,4,2,3,5,5,2,2,4,2,2,1,4
23,4,4,4,4,2,4,5,4,4,4,2,2,3,2,4,4,2,3,4,5,3,2,3,4,2,3,4,4,3,2,4,4,2,2,4,3,1,4,3,3,2,3,4,3,2,2,2,2,3,2,2,4,4,3,2,4,4,4,2,4
25,4,4,2,3,2,4,4,1,5,5,1,3,4,2,4,2,2,4,4,5,4,2,4,5,1,1,4,2,4,1,1,4,4,3,5,2,2,5,2,5,4,2,4,4,1,4,2,2,3,1,2,5,4,2,1,4,4,2,3,5
27,4,5,1,3,1,4,4,2,4,5,1,2,4,2,5,3,1,4,4,5,4,4,4,4,2,3,5,2,2,1,4,3,4,5,5,2,2,4,4,4,4,2,5,3,1,4,2,1,2,1,2,5,4,5,2,4,4,2,4,5
30,5,4,2,4,2,4,4,2,4,5,2,2,2,4,4,2,2,4,4,4,3,2,4,4,3,2,4,4,4,2,4,4,4,5,4,3,4,4,3,4,4,3,4,4,2,5,3,1,2,2,2,4,4,3,4,4,4,4,3,4
34,4,4,4,4,2,1,4,4,4,4,4,4,4,2,3,2,2,2,4,4,5,4,2,4,1,4,4,2,5,2,3,4,2,3,4,2,4,4,4,4,3,2,4,4,2,4,1,2,4,2,2,4,5,5,2,4,5,2,1,4
35,5,4,2,5,2,4,5,4,5,5,2,1,4,1,3,4,2,4,3,4,2,2,4,4,1,4,5,4,5,2,2,4,4,2,4,3,1,4,1,3,3,2,4,4,1,2,1,2,4,3,4,5,4,1,1,4,4,3,2,3
38,4,4,2,3,1,5,4,3,2,4,2,3,4,2,3,3,2,5,4,5,3,2,3,4,1,3,4,2,5,3,3,4,5,3,5,2,2,3,3,3,3,3,4,4,3,3,2,1,3,2,2,4,4,2,2,3,2,3,1,3
39,4,4,4,4,2,4,4,5,4,3,1,4,2,2,3,2,3,2,4,4,2,2,3,3,2,4,5,4,5,1,4,4,2,4,4,2,2,3,2,2,3,3,4,4,2,5,1,2,3,2,4,5,4,4,2,5,4,4,4,4
40,4,4,5,3,4,2,5,5,2,4,2,2,1,4,4,4,2,1,4,3,1,2,5,2,2,4,5,5,4,5,4,4,2,3,4,4,2,2,2,4,3,2,4,2,1,4,2,2,1,1,4,4,2,2,1,4,4,4,3,4
41,4,5,3,2,3,3,5,2,4,4,1,3,2,2,4,2,1,2,4,3,1,1,2,2,4,2,5,2,2,2,5,5,4,4,4,4,1,3,4,4,4,3,4,4,3,1,1,1,5,1,1,5,4,3,2,4,4,1,3,4
42,5,5,4,1,5,1,5,3,4,4,1,4,3,3,2,2,5,4,4,4,1,3,3,2,5,5,1,3,2,4,2,5,3,5,3,2,1,2,5,4,4,2,4,3,2,5,1,2,2,4,3,5,3,5,3,3,3,4,3,3
43,4,4,2,5,2,3,5,2,4,4,4,1,2,1,2,2,2,4,1,4,3,4,4,4,2,2,4,2,5,3,2,3,4,2,3,2,1,3,2,4,3,4,5,5,3,4,4,1,4,2,4,5,5,1,2,3,4,2,1,4
44,4,4,5,2,1,3,4,2,2,4,2,3,1,4,3,1,2,1,4,4,3,3,2,4,2,2,4,4,2,1,1,4,3,4,4,2,2,4,4,3,4,2,4,2,1,4,2,2,2,1,2,4,2,2,2,4,4,3,3,4
47,4,4,1,2,3,4,4,2,4,3,5,2,5,2,4,4,2,5,4,2,2,2,2,4,2,2,4,1,4,4,4,4,5,4,3,2,2,4,2,4,4,2,4,4,2,3,1,1,3,2,2,5,5,2,4,4,4,2,4,3
48,4,4,2,2,2,4,4,2,2,4,2,3,4,2,2,2,2,5,4,3,3,2,2,4,2,2,4,2,3,3,2,4,4,2,4,2,4,4,2,4,3,2,4,4,2,4,2,1,2,2,3,4,4,3,2,3,4,3,2,4
49,4,4,4,4,2,4,4,4,4,5,2,2,4,1,4,2,2,2,4,4,2,2,2,4,2,2,4,4,4,4,4,4,2,2,4,2,2,4,2,2,4,2,4,4,2,3,2,2,2,2,2,4,4,2,2,4,4,2,2,4
51,4,4,1,4,3,2,4,2,5,4,2,2,5,1,4,2,2,4,2,3,4,2,2,4,1,1,4,3,4,2,3,4,4,2,4,2,2,4,1,3,4,2,4,5,2,4,4,1,4,2,2,5,4,2,4,3,4,2,2,4
52,2,4,1,5,4,3,5,4,4,5,4,4,5,5,5,5,2,5,4,3,4,2,2,3,3,4,5,4,2,3,5,2,4,5,2,2,5,5,4,4,1,5,5,3,4,1,5,1,2,1,1,5,5,4,1,1,1,2,3,4
55,2,2,4,4,4,4,4,2,4,4,2,2,4,2,4,2,4,1,4,1,3,4,4,4,1,2,2,4,4,2,5,2,2,2,2,2,2,4,2,4,4,4,3,4,1,4,4,2,2,4,2,4,4,2,2,2,4,4,2,4
56,4,5,2,1,1,2,5,4,2,4,2,3,5,4,4,2,2,2,5,5,2,3,2,4,1,4,4,5,4,1,5,4,1,5,4,3,4,4,3,4,2,1,5,4,2,2,4,5,1,2,5,4,3,3,2,4,4,2,4,3
57,2,4,2,2,1,4,4,2,1,5,4,2,4,5,4,4,2,4,4,4,4,3,2,2,2,3,4,2,2,2,4,4,4,5,4,3,4,4,4,3,2,5,3,2,2,3,4,2,2,2,4,4,4,4,2,2,2,2,5,3
58,4,5,2,2,2,4,5,5,4,5,4,2,5,4,4,4,1,5,4,4,2,3,4,5,2,2,5,4,5,3,4,4,1,5,4,2,1,4,3,4,2,2,5,5,1,4,2,2,2,3,4,5,1,4,1,4,4,2,1,4
59,1,4,5,4,3,3,4,4,4,5,2,4,3,3,4,5,2,2,4,3,3,2,2,4,1,4,4,4,3,1,5,3,1,4,2,2,3,2,3,2,3,4,3,4,2,2,3,4,2,2,1,4,2,3,2,3,3,4,2,5
61,5,5,1,4,4,4,5,4,2,4,4,1,4,2,4,4,2,5,4,4,3,1,2,4,4,2,4,4,4,4,2,5,5,5,4,4,2,2,4,2,2,1,5,2,2,4,2,1,4,3,4,5,4,4,4,4,5,2,2,2
63,2,4,3,4,4,4,5,4,3,4,4,2,3,1,4,4,4,4,2,3,1,2,2,4,2,4,4,4,4,4,3,4,3,4,2,4,2,4,4,4,2,4,3,4,2,2,4,2,2,2,4,4,4,4,2,2,2,4,2,2
66,4,4,4,2,1,2,5,2,5,4,4,2,2,4,4,2,1,2,4,5,4,4,2,4,2,4,4,4,4,2,4,4,2,2,5,2,4,4,2,2,4,4,4,2,2,4,2,2,2,4,2,4,3,4,2,4,4,2,2,4
