2025-06-10 23:34:04,260 INFO    StreamThr :3228 [internal.py:wandb_internal():85] W&B internal server running at pid: 3228, started at: 2025-06-10 23:34:04.260783
2025-06-10 23:34:04,275 DEBUG   HandlerThread:3228 [handler.py:handle_request():158] handle_request: status
2025-06-10 23:34:04,276 INFO    WriterThread:3228 [datastore.py:open_for_write():87] open: E:\CYBER\5. Thesis Internship\Sourcecode-nuances-10fold\wandb\run-20250610_233404-l1nneipt\run-l1nneipt.wandb
2025-06-10 23:34:04,276 DEBUG   SenderThread:3228 [sender.py:send():378] send: header
2025-06-10 23:34:04,276 DEBUG   SenderThread:3228 [sender.py:send():378] send: run
2025-06-10 23:34:04,959 INFO    SenderThread:3228 [dir_watcher.py:__init__():211] watching files in: E:\CYBER\5. Thesis Internship\Sourcecode-nuances-10fold\wandb\run-20250610_233404-l1nneipt\files
2025-06-10 23:34:04,959 INFO    SenderThread:3228 [sender.py:_start_run_threads():1123] run started: l1nneipt with start time 1749594844.260783
2025-06-10 23:34:04,975 DEBUG   HandlerThread:3228 [handler.py:handle_request():158] handle_request: check_version
2025-06-10 23:34:04,975 DEBUG   SenderThread:3228 [sender.py:send_request():405] send_request: check_version
2025-06-10 23:34:06,541 DEBUG   HandlerThread:3228 [handler.py:handle_request():158] handle_request: run_start
2025-06-10 23:34:06,581 DEBUG   HandlerThread:3228 [system_info.py:__init__():26] System info init
2025-06-10 23:34:06,581 DEBUG   HandlerThread:3228 [system_info.py:__init__():41] System info init done
2025-06-10 23:34:06,581 INFO    HandlerThread:3228 [system_monitor.py:start():194] Starting system monitor
2025-06-10 23:34:06,581 INFO    SystemMonitor:3228 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-06-10 23:34:06,581 INFO    HandlerThread:3228 [system_monitor.py:probe():214] Collecting system info
2025-06-10 23:34:06,581 INFO    SystemMonitor:3228 [interfaces.py:start():188] Started cpu monitoring
2025-06-10 23:34:06,581 INFO    SystemMonitor:3228 [interfaces.py:start():188] Started disk monitoring
2025-06-10 23:34:06,581 INFO    SystemMonitor:3228 [interfaces.py:start():188] Started gpu monitoring
2025-06-10 23:34:06,589 INFO    SystemMonitor:3228 [interfaces.py:start():188] Started memory monitoring
2025-06-10 23:34:06,609 INFO    SystemMonitor:3228 [interfaces.py:start():188] Started network monitoring
2025-06-10 23:34:06,613 DEBUG   HandlerThread:3228 [system_info.py:probe():150] Probing system
2025-06-10 23:34:06,613 DEBUG   HandlerThread:3228 [gitlib.py:_init_repo():56] git repository is invalid
2025-06-10 23:34:06,613 DEBUG   HandlerThread:3228 [system_info.py:probe():198] Probing system done
2025-06-10 23:34:06,613 DEBUG   HandlerThread:3228 [system_monitor.py:probe():223] {'os': 'Windows-11-10.0.26100-SP0', 'python': '3.12.0', 'heartbeatAt': '2025-06-10T22:34:06.613728', 'startedAt': '2025-06-10T22:34:04.100789', 'docker': None, 'cuda': None, 'args': ('--section', 'ghost'), 'state': 'running', 'program': 'E:\\CYBER\\5. Thesis Internship\\Sourcecode-nuances-10fold\\main.py', 'codePathLocal': 'main.py', 'codePath': 'main.py', 'host': 'LAPTOP-03DV2J9E', 'username': 'Ansari Amir', 'executable': 'C:\\Users\\Ansari Amir\\AppData\\Local\\Programs\\Python\\Python312\\python.exe', 'cpu_count': 6, 'cpu_count_logical': 12, 'cpu_freq': {'current': 3000.0, 'min': 0.0, 'max': 3000.0}, 'cpu_freq_per_core': [{'current': 3000.0, 'min': 0.0, 'max': 3000.0}], 'disk': {'/': {'total': 931.4960899353027, 'used': 747.6617126464844}}, 'gpu': 'NVIDIA GeForce GTX 1650', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1650', 'memory_total': 4294967296}], 'memory': {'total': 7.421142578125}}
2025-06-10 23:34:06,613 INFO    HandlerThread:3228 [system_monitor.py:probe():224] Finished collecting system info
2025-06-10 23:34:06,613 INFO    HandlerThread:3228 [system_monitor.py:probe():227] Publishing system info
2025-06-10 23:34:06,613 INFO    HandlerThread:3228 [system_monitor.py:probe():229] Finished publishing system info
2025-06-10 23:34:06,620 DEBUG   SenderThread:3228 [sender.py:send():378] send: files
2025-06-10 23:34:06,620 INFO    SenderThread:3228 [sender.py:_save_file():1389] saving file wandb-metadata.json with policy now
2025-06-10 23:34:06,891 DEBUG   HandlerThread:3228 [handler.py:handle_request():158] handle_request: python_packages
